Institute_Type,College Name,City,Branch,Cutoff,Fees,Placement %,Avg Package,Highest Package,Scholarship
NIT,National Institute of Technology Meghalaya,Shillong,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Mizoram,Aizawl,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Nagaland,Chümoukedima,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Patna,Patna,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Puducherry,Karaikal,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Raipur,Raipur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Rourkela,Rourkela,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Sikkim,Ravangla,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Silchar,Silchar,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Srinagar,Srinagar,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,"National Institute of Technology, Surat",Surat,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Tiruchirappalli,Tiruchirappalli,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Uttarakhand,Srinagar (Garhwal),All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Warangal,Warangal,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,Dr. B. R. Ambedkar National Institute of Technology Jalandhar,Jalandhar,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,Malaviya National Institute of Technology Jaipur,Jaipur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,Maulana Azad National Institute of Technology Bhopal,Bhopal,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,Motilal Nehru National Institute of Technology Allahabad,Prayagraj,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Jamshedpur,Jamshedpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,Visvesvaraya National Institute of Technology Nagpur,Nagpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Gwalior,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Allahabad",Prayagraj,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",Jabalpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram",Kancheepuram,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Sri City",Sri City,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Guwahati",Guwahati,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Vadodara",Vadodara,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Kota",Kota,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Tiruchirappalli",Tiruchirappalli,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Dharwad",Dharwad,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Una",Una,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Sonepat",Sonipat,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Kalyani",Kalyani,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Lucknow",Lucknow,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Kurnool,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Kottayam",Kottayam,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Manipur",Imphal,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Nagpur",Nagpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIIT,"Indian Institute of Information Technology, Pune",Pune,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
