Academic_Year,CAP_Round,College_Name,Institute_Identifier_Notes,Program_Branch,Seat_Category_Code,Closing_Merit_No,Closing_Percentile,Official_Source_URL,Notes
2023-24,1,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2023-24,2,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2023-24,3,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2023-24,4,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2023-24,5,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2024-25,1,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2024-25,2,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2024-25,3,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2024-25,4,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2024-25,5,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2025-26,1,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2025-26,2,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2025-26,3,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2025-26,4,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2025-26,5,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
